"","Country","POP.TOTAL","POP.0TO14","POP.15TO65","POP.65UP","POP.80UP","Beds","Days","Confirmed","Deaths"
"1","Afghanistan",34413603,15443807,18116800,852996,85552,5,"1/22/20",0,0
"2","Afghanistan",34413603,15443807,18116800,852996,85552,5,"1/23/20",0,0
"3","Afghanistan",34413603,15443807,18116800,852996,85552,5,"1/24/20",0,0
"4","Afghanistan",34413603,15443807,18116800,852996,85552,5,"1/25/20",0,0
"5","Afghanistan",34413603,15443807,18116800,852996,85552,5,"1/26/20",0,0
"6","Afghanistan",34413603,15443807,18116800,852996,85552,5,"1/27/20",0,0
"7","Afghanistan",34413603,15443807,18116800,852996,85552,5,"1/28/20",0,0
"8","Afghanistan",34413603,15443807,18116800,852996,85552,5,"1/29/20",0,0
"9","Afghanistan",34413603,15443807,18116800,852996,85552,5,"1/30/20",0,0
"10","Afghanistan",34413603,15443807,18116800,852996,85552,5,"1/31/20",0,0
"11","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/1/20",39285,1460
"12","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/10/20",39703,1475
"13","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/11/20",39799,1479
"14","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/12/20",39870,1481
"15","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/13/20",39928,1482
"16","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/14/20",39994,1483
"17","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/15/20",40026,1483
"18","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/16/20",40088,1487
"19","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/17/20",40141,1490
"20","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/2/20",39290,1460
"21","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/3/20",39297,1464
"22","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/4/20",39341,1464
"23","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/5/20",39422,1468
"24","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/6/20",39486,1469
"25","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/7/20",39548,1471
"26","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/8/20",39616,1472
"27","Afghanistan",34413603,15443807,18116800,852996,85552,5,"10/9/20",39693,1474
"28","Afghanistan",34413603,15443807,18116800,852996,85552,5,"2/1/20",0,0
"29","Afghanistan",34413603,15443807,18116800,852996,85552,5,"2/10/20",0,0
"30","Afghanistan",34413603,15443807,18116800,852996,85552,5,"2/11/20",0,0
"31","Afghanistan",34413603,15443807,18116800,852996,85552,5,"2/12/20",0,0
"32","Afghanistan",34413603,15443807,18116800,852996,85552,5,"2/13/20",0,0
"33","Afghanistan",34413603,15443807,18116800,852996,85552,5,"2/14/20",0,0
"34","Afghanistan",34413603,15443807,18116800,852996,85552,5,"2/15/20",0,0
"35","Afghanistan",34413603,15443807,18116800,852996,85552,5,"2/16/20",0,0
"36","Afghanistan",34413603,15443807,18116800,852996,85552,5,"2/17/20",0,0
"37","Afghanistan",34413603,15443807,18116800,852996,85552,5,"2/18/20",0,0
